92   CH2      O                 OH       CH                 4.98E-10    0.00    6000.0
93   CH2      O                 CO       H        H         1.33E-10    0.00       0.0
94   CH2      O                 CO       H2                 8.00E-11    0.00       0.0
95   CH2      O                 HCO      H                  5.01E-11    0.00       0.0
96   CH2      CH4               CH3      CH3                7.13E-12    0.00    5050.0
97   CH2      OH                O        CH3                1.44E-11    0.50    3000.0
98   CH2      OH                H2O      CH                 1.44E-11    0.50    3000.0
99   CH2      OH                H2CO     H                  3.00E-11    0.00       0.0
100  CH2      CN                HCN      CH                 5.30E-12    0.00    2500.0
101  CH2      N2                HCN      NH                 8.00E-12    0.00   18000.0
102  CH2      HCO               CO       CH3                3.00E-11    0.00       0.0
103  CH2      NO                HCN      OH                 8.32E-13    0.00    1443.0
104  CH2      NO                H2CO     N                  2.70E-12    0.00    3500.0
105  CH2      H2CO              HCO      CH3                3.30E-13    0.00    3270.0
106  CH2      HNO               NO       CH3                1.70E-11    0.00       0.0
107  CH2      O2                HCO      OH                 4.10E-11    0.00     750.0
108  CH2      O2                H2CO     O                  3.65E-11   -3.30    1443.0
109  CH2      O2                CO       H2O                2.48E-10   -3.30    1443.0
110  NH       NH                N2       H        H         1.16E-09    0.00       0.0
111  NH       NH                N2       H2                 1.70E-11    0.00       0.0
112  NH       NH                NH2      N                  1.03E-14    3.07   -1123.0
113  NH       O                 OH       N                  1.16E-11    0.00       0.0
114  NH       O                 NO       H                  1.16E-10    0.00       0.0
115  NH       CH4               CH3      NH2                6.63E-16    6.13    5895.0
116  NH       OH                HNO      H                  3.32E-11    0.00       0.0
117  NH       OH                NH2      O                  2.93E-12    0.10    5800.0
118  NH       OH                H2O      N                  3.11E-12    1.20       0.0
119  NH       NH3               NH2      NH2                5.25E-10    0.00   13470.0
120  NH       H2O               OH       NH2                1.83E-12    1.60   14090.0
121  NH       CN                HCN      N                  2.94E-12    0.50    1000.0
122  NH       NO                N2       O        H         5.00E-11    0.00       0.0
123  NH       NO                N2       OH                 1.46E-11   -0.58      37.0
124  CH3      CH3               CH4      CH2                7.13E-12    0.00    5052.0
125  CH3      O                 H2CO     H                  1.30E-10    0.00       0.0
126  CH3      O                 CO       H2       H         3.60E-11    0.00     202.0
127  CH3      NH2               CH2      NH3                4.76E-17    5.77    -151.0
128  CH3      OH                CH4      O                  3.27E-14    2.20    2240.0
129  CH3      OH                H2O      CH2                1.20E-10    0.00    1400.0
130  CH3      OH                H2CO     H2                 1.70E-12    0.00       0.0
131  CH3      NH3               CH4      NH2                9.55E-14    0.00    4890.0
132  CH3      H2O               OH       CH4                2.30E-15    3.47    6681.0
133  CH3      CN                HCN      CH2                9.21E-12    0.70    1500.0
134  CH3      HCO               CO       CH4                2.00E-10    0.00       0.0
135  CH3      NO                HCN      H2O                4.00E-12    0.00    7900.0
136  CH3      H2CO              HCO      CH4                1.34E-15    5.05    1636.0
137  CH3      HNO               NO       CH4                3.32E-12    0.00       0.0
138  CH3      O2                HCO      H2O                1.66E-12    0.00       0.0
139  CH3      O2                H2CO     OH                 5.64E-13    0.00    4500.0
140  O        NH2               OH       NH                 1.39E-11    0.00      40.0
141  O        NH2               NO       H2                 8.30E-12    0.00       0.0
142  O        NH2               HNO      H                  4.56E-11    0.00     -10.0
143  O        CH4               OH       CH3                2.29E-12    2.20    3820.0
144  O        OH                O2       H                  7.50E-11   -0.25       0.0
145  O        NH3               OH       NH2                1.89E-11    0.00    4003.0
146  O        H2O               OH       OH                 1.85E-11    0.95    8571.0
